product_id,post_title,price,stock_quantity,chiffre_affaires_produit,chiffre_affaires_total
4151.0,Elian Daros Côtes du Marmandais Abouriou 2016,13.7,0.0,0.0,388287.4999999999
4907.0,Alphonse Mellot Coteaux Charitois Rouge Les Pénitents 2015,22.9,6.0,137.39999999999998,388287.4999999999
5690.0,Domaine Hauvette IGP Alpilles Dolia 2012,44.6,8.0,356.8,388287.4999999999
4256.0,Domaine Huet Vouvray Haut-Lieu Sec 2017,24.4,0.0,0.0,388287.4999999999
4635.0,Marcel Windholtz Eau de Vie de Kirsch d'Alsace Réserve Particulière,62.4,3.0,187.2,388287.4999999999
5802.0,Château Peymartin Saint-Julien 2014,23.8,22.0,523.6,388287.4999999999
4612.0,Gilbert Picq Chablis Vieilles Vignes 2017,20.6,49.0,1009.4000000000001,388287.4999999999
5803.0,Château Tour Haut-Caussan Médoc 2015,17.1,36.0,615.6,388287.4999999999
4269.0,Domaine Sérol Côte Roannaise Les Originelles 2019,10.2,1.0,10.2,388287.4999999999
4664.0,La Cotelleraie Saint-Nicolas-de-Bourgueil Le Vau Jaumier 2016,16.4,15.0,245.99999999999997,388287.4999999999
5958.0,Domaine Labranche Laffont Madiran Tradition 2016,8.7,44.0,382.79999999999995,388287.4999999999
5047.0,Champagne Petit Lebrun &amp; Fils Blanc de Blancs Grand Cru,22.5,129.0,2902.5,388287.4999999999
4070.0,Gilles Robin Crozes-Hermitage Blanc Les Marelles 2018,23.4,98.0,2293.2,388287.4999999999
4996.0,Domaine Peyre Rose Marlène N°3 2008,78.0,33.0,2574.0,388287.4999999999
5063.0,Lucien Boillot Pommard 1er Cru Les Croix Noires 2017,67.0,0.0,0.0,388287.4999999999
4400.0,Cognac Frapin 1270,44.0,0.0,0.0,388287.4999999999
4784.0,Maurice Schoech Riesling Vendanges Tardives 2017,28.5,10.0,285.0,388287.4999999999
6664.0,Catherine et Claude Maréchal Savigny-Lès-Beaune Rouge 2017,35.6,38.0,1352.8,388287.4999999999
4954.0,Bon cadeau de 25€,25.0,0.0,0.0,388287.4999999999
